id,book_id,title,image_url
1,2767052,The Hunger Games,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,3,Harry Potter and the Philosopher's Stone,https://images.gr-assets.com/books/1474154022m/3.jpg
3,41865,Twilight,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,2657,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,4671,The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,11870085,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,5907,The Hobbit or There and Back Again,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,5107,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,960,Angels & Demons ,https://images.gr-assets.com/books/1303390735m/960.jpg
10,1885,Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,77203,The Kite Runner ,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,13335037,Divergent,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,5470,Nineteen Eighty-Four,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,7613,Animal Farm: A Fairy Story,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,48855,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,2429135,Män som hatar kvinnor,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,6148028,Catching Fire,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,5,Harry Potter and the Prisoner of Azkaban,https://images.gr-assets.com/books/1499277281m/5.jpg
19,34, The Fellowship of the Ring,https://images.gr-assets.com/books/1298411339m/34.jpg
20,7260188,Mockingjay,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,2,Harry Potter and the Order of the Phoenix,https://images.gr-assets.com/books/1387141547m/2.jpg
22,12232938,The Lovely Bones,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,15881,Harry Potter and the Chamber of Secrets,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,6,Harry Potter and the Goblet of Fire,https://images.gr-assets.com/books/1361482611m/6.jpg
25,136251,Harry Potter and the Deathly Hallows,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,968,The Da Vinci Code,https://images.gr-assets.com/books/1303252999m/968.jpg
27,1,Harry Potter and the Half-Blood Prince,https://images.gr-assets.com/books/1361039191m/1.jpg
28,7624,Lord of the Flies ,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,18135,An Excellent conceited Tragedie of Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,8442457,Gone Girl,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,4667024,The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,890,Of Mice and Men ,https://images.gr-assets.com/books/1437235233m/890.jpg
