bookEdition,description,id,GoodReadAverageRating,Language,NumberofRatings,author,numberofpages,title,bookformat
Collana Planet 115,"Continua la grande avventura di Yume, alla ricerca di sette motivi per cui questo nostro pianeta merita di esistere! Se non riuscirà nella sua impresa, un demone dalle fattezze di una deliziosa bambina distruggerà il mondo. Yume si sta impegnando con tutte le sue forze per mostrare al demone le meraviglie della Terra, ma non è facile. In questo numero, dovrà vedersela contro un’inaspettata rivale e soprattutto contro le proprie paure. Infatti, se vuole riuscire a salvare il mondo, dovrà prima di tutto cambiare se stessa!",18373204,4.0,                                  ,72,Mayu Sakai,176 pages,"MOMO 終末庭園へようこそ, 02",Paperback
Second Edition,"In this impressive second edition of Theory of Knowledge, Keith Lehrer introduces students to the major traditional and contemporary accounts of knowing. Beginning with the traditional definition of knowledge as justified true belief, Lehrer explores the truth, belief, and justification conditions on the way to a thorough examination of foundation theories of knowledge,the work of Platinga, externalism and naturalized epistemologies, internalism and modern coherence theories, contextualism, and recent reliabilist and causal theories. Lehrer gives all views careful examination and concludes that external factors must be matched by appropriate internal factors to yield knowledge. This match of internal and external factors follows from Lehrer's new coherence theory of undefeated justification. In addition to doing justice to the living epistemological traditions, the text smoothly integrates several new lines that will interest scholars. Also, a feature of special interest is Lehrer's concept of a justification game.This second edition of Theory of Knowledge is a thoroughly revised and updated version that contains several completely new chapters. Written by a well-known scholar and contributor to modern epistemology, this text is distinguished by clarity of structure, accessible writing, and an elegant mix of traditional material, contemporary ideas, and well-motivated innovation.",838965,3.37,English,19,Keith Lehrer,272 pages,Theory of Knowledge,Paperback
50th Anniversary Edition,"Awe and exhiliration--along with heartbreak and mordant wit--abound in Lolita, Nabokov's most famous and controversial novel, which tells the story of the aging Humbert Humbert's obsessive, devouring, and doomed passion for the nymphet Dolores Haze. Lolita is also the story of a hypercivilized European colliding with the cheerful barbarism of postwar America. Most of all, it is a meditation on love--love as outrage and hallucination, madness and transformation.",18133,3.88,English,521158,Vladimir Nabokov,317 pages,Lolita,Paperback
Special Gift Edition,"Hundreds of thousands of people around the world have read—and reread—Christopher Moore's irreverent, iconoclastic, and divinely funny tale of the early life of Jesus Christ as witnessed by his boyhood pal Levi bar Alphaeus (a.k.a. Biff). Now, in this special (check out the cool red ribbon marker, gilt-edged pages, and gold lettering) gift edition of Christopher Moore's bestselling ",446535,4.26,English,126527,Christopher Moore,417 pages,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Leather Bound
Penguin Classics,"One of George Eliot's most ambitious and imaginative novels, Romola is set in Renaissance Florence during the turbulent years following the expulsion of the powerful Medici family during which the zealous religious reformer Savonarola rose to control the city. At its heart is Romola, the devoted daughter of a blind scholar, married to the clever but ultimately treacherous Tito whose duplicity in both love and politics threatens to destroy everything she values, and she must break away to find her own path in life. Described by Eliot as 'written with my best blood', the story of Romola's intellectual and spiritual awakening is a compelling portrayal of a Utopian heroine, played out against a turbulent historical backdrop.",11095144,3.75,English,3334,George Eliot,688 pages,Romola,Paperback
Drama Classics,"Jean-Baptiste Poquelin, also known by his stage name, Molière, was a French playwright and actor who is considered one of the greatest masters of comedy in Western literature. Among Molière's best-known dramas are ",388812,3.66,English,24918,Molière,180 pages,"Le Tartuffe, ou L’Imposteur",Paperback
Penguin Classics," (1877) is the story of a woman's struggle for happiness in working-class Paris. At the center of the story stands Gervaise, who starts her own laundry and for a time makes a success of it. But her husband soon squanders her earnings in the Assommoir, a local drinking spot, and gradually the pair sink into poverty",2820826,4.06,English,9259,Émile Zola,480 pages,L'Assommoir,Paperback
Penguin Books 60th Anniversary," is the tragic romance of the young actress Rosemary Hoyt and the stylish American couple Dick and Nicole Diver. A brilliant young psychiatrist at the time of his marriage, Dick is both husband and doctor to Nicole, whose wealth goads him into a lifestyle not his own, and whose growing strength highlights Dick",1383812,3.83,English,87694,F. Scott Fitzgerald,400 pages,Tender Is the Night,Hardcover
Gesammelte Werke #60,"Karl Friedrich May (also Karol May) was one of the best selling German writers of all time, noted mainly for books set in the American Old West, (best known for the characters of Winnetou and Old Shatterhand) and similar books set in the Orient and Middle East. In addition, he wrote stories set in his native Germany, in China and in South America.",768593,3.77,German,62,Karl May,386 pages,Allah il Allah,Hardcover
Folio classique,", c'est l'instinct de mort dans le personnage principal, la fêlure cérébrale de Jacques Lantier, mécanicien de locomotive. Jeune homme, il pressent si bien la manière dont l'instinct de mort se déguise sous tous les appétits, l'Idée de mort sous toutes les idées fixes, la grande hérédité sous la petite, qu'il se tient à l'écart : d'abord des",105195,4.04,French,6238,Émile Zola,502 pages,La Bête humaine,Mass Market Paperback
"Bibliothek Suhrkamp, #1366","Bertolt Brecht (born Eugen Berthold Friedrich Brecht) was a German poet, playwright, and theatre director. A seminal theatre practitioner of the twentieth century, Brecht made equally significant contributions to dramaturgy and theatrical production, the latter particularly through the seismic impact of the tours undertaken by the Berliner Ensemble—the post-war theatre company operated by Brecht a",152994,3.93,German,843,Bertolt Brecht,157 pages,Geschichten vom Herrn Keuner,Hardcover
Special Illustrated Edition,", which has become one of the best selling novels of all time as well as the subject of intellectual debate among readers and scholars. Brown’s novels are published in 52 languages around the world with 200 million copies in print.",4227,3.86,English,2094520,Dan Brown,528 pages,Angels & Demons ,Hardcover
Large Print,"Here is one of the most practical guides to meditation. As a psychotherapist and researcher, Lawrence LeShan is more interested in the process and effects of meditation than the spiritual motivations. To LeShan, meditation means training the mind, and he likens it to physical exercise. Like a good trainer, he breaks down the different kinds of meditation into easy-to-learn steps and offers counsel about the best ways to go about it and the pitfalls you are likely to encounter. LeShan isn't pure vanilla, however. He wrote at a time (the early '70s) when meditation was still considered esoteric and strongly associated with the paranormal. Still, he keeps his feet on the ground and suggests that you do, too. Meditation, he says, helps get a new perspective on the world and to attain ""an increased serenity and competence in being."" If you are a beginning meditator, this perennial favorite is a good place to start. ",2457492,3.74,English,421,Lawrence LeShan,285 pages,How to Meditate: A Guide to Self-Discovery,Hardcover
Sotterranei #95,I protagoni,9673658,3.59,Italian,190,A.L. Kennedy,215 pages,Indelible Acts,Paperback
Readers Circle,"Joe Maloney is out of place in this world. His mother wants him to be a man, and he can’t be that yet. His only friend, Stanny Mole, wants to teach him how to kill, and Joe can’t learn that. Joe’s mind is always somewhere else: on the weird creatures he sees in the distant sky, the songs he hears in the air around him, the vibrations of life he feels everywhere. Everybody laughs at Joe Maloney.",2424548,3.56,English,294,David Almond,224 pages,Secret Heart ,Mass Market Paperback
Large Print,"Mildred Grieveson was born on October 10, 1946 in England. She had writtenall through her infant and junior years and on into her teens, the storieschanging from children's adventures to torrid gypsy passions. Her motherused to gather these up from time to time, when her bedroom became toountidy, and dispose of them!",1739475,3.33,English,3,Anne Mather,186 pages,A Millionaire Boyfriend,Hardcover
Harlequin Presents Plus #1719,"Debra Latham followed her instructions closely when she was persuaded by her private detective sister to keep a watch on a suspicious client. But no instructions told her how to cope with an angry man who believed she was spying on him, or how to defend herself against his impassioned kisses. Marsh Graham turned out to be completely innocent and, embarrassingly for Debra, he was also her new boss. Not exactly the most auspicious of starts to a working relationship.",34835,2.63,English,27,Penny Jordan,186 pages,"A Matter of Trust (Harlequin Presents Plus, No 1719)",Paperback
First Edition,"The theme is that of the conflict, which came t",18621486,5.0,                                  ,3,Vardis Fisher,448 pages,The Island of the Innocent,Hardcover
Shambhala Dragon Editions,", ",1057985,4.31,English,288,Chögyam Trungpa,296 pages,Great Eastern Sun: The Wisdom of Shambhala,Paperback
By Request,The Bravo Family Way ,14854113,3.79,English,48,Christine Rimmer,560 pages,Bravo Family Ties,Paperback
Abridged,Prosecutor Ellen North believes she's buil,11345814,4.1,English,14617,Tami Hoag,0 pages,Guilty as Sin (Deer Lake #2),Audio CD
Large Print,W.E.B. Griffin is one of several pseudonyms for ,9813320,3.91,English,1483,W.E.B. Griffin,568 pages,The Double Agents,Hardcover
First edition,"Secrete întunecate si suspiciuni nemărturisite amenință prietenia dintre Zoey si Stevie Rae. Nelinistită de legătura ei profundă cu A-ya, fecioara plăsmuită de femeile Cherokee pentru a-l seduce pe maleficul Kalona, Zoey se luptă să-si înfrangă dorinta de a-l iubi pe frumosul înger căzut, cand acesta încearcă in fel si chip să o prindă in mrejele sale. Înca o dată, Întunericul amenință să pună stăpanire pe Casa Nopții.",12659235,3.96,English,138437,P.C. Cast,367 pages,Tempted,Hardcover
Special Illustrated Edition,"While in Paris on business, Harvard symbologist Robert Langdon receives an urgent late-night phone call: the elderly curator of the Louvre has been murdered inside the museum. Near the body, police have found a baffling cipher. While working to solve the enigmatic riddle, Langdon is stunned to discover it leads to a trail of clues hidden in the works of Da Vinci -- clues visible for all to see -- yet ingeniously disguised by the painter.",969,3.79,English,1564680,Dan Brown,480 pages,The Da Vinci Code,Paperback
Kaliber,"Det er onsdag 5. august 1970, og førstebetjent Kolbjørn ""K2"" Kristiansen er på vei hjem etter et rutineoppdrag på Smestad, da han blir vitne til en ung kvinne som i vill panikk løper etter trikken uten å nå den. En time senere finner han kvinnen skutt og drept, liggende i trikkesporet. Det viser seg raskt at kvinnen tilhørte en gruppe unge sosialister. Og hun var forlovet med gruppens karismatiske leder, som på dagen to år tidligere forsvant på uforklarlig vis under en hyttetur i Valdres.",24852550,3.76,"
                  ",276,Hans Olav Lahlum,345 pages,Katalysatormordet,Paperback
El Barco de Vapor Naranja,"La llegada de la primavera revoluciona a fray Perico y a sus compañeros. Y es que dicha estación no solo lleva al convento las flores y el buen tiempo, sino también a unos ladrones un tanto atípicos y hasta a unos soldados franceses. Pero... ¿qué pasará? ¿conseguirán finalmente acabar con la paciencia del pacífico fraile? Un libro donde se entremezcla el humor, la inocencia y la solidaridad.",2117450,4.0,Spanish,12,Juan Muñoz Martín,108 pages,Fray Perico y la primavera,Paperback
Abridged,"Douglas Preston was born in Cambridge, Massachusetts, in 1956, and grew up in the deadly boring suburb of Wellesley. Following a distinguished career at a private nursery school--he was almost immediately expelled--he attended public schools and the Cambridge School of Weston. Notable events in his early life included the loss of a fingertip at the age of three to a bicycle; the loss of his two fr",1228554,4.13,English,25524,Douglas Preston,0 pages,The Book of the Dead,Audio CD
40th Anniversary Edition," is the story of the boy Paul Atreides, who would become the mysterious man known as Muad'Dib. He would avenge the traitorous plot against his noble family--and would bring to fruition humankind's most ancient and unattainable dream.A stunning blend of adve",104,4.19,English,530290,Frank Herbert,528 pages,Dune,Paperback
Harlequin Intrigue Series,"Despite his dark past and dangerous edge, Jordan Taylor fell for the helpless infant left on his Texas doorstep with a frantic plea for help. The millionaire security agent had built a fortress around baby Gus...or so he thought until Kinley Ford showed up at Christmas fourteen months later.Kinley wanted only to see her son; instead she'd led the killers on her heels straight to Gus. Killers who wouldn't hesitate to use him as the ultimate pawn. Kinley got to Jordan's heart, and after a lifetime of loss, he vowed to sacrifice everything to protect his surrogate son and the woman who'd ensnared him. Everything. Even his life.",6799527,4.15,"
                  ",78,Delores Fossen,218 pages,"
                  037369430X
                      ",Paperback
چاپ پنجم,جلال آل احمد در تهران به دنیا آمد. در ۱۳۲۳ به حزب توده پیوست و سه سال بعد در انشعابی جنجالی از آن کناره گرفت. نخستین مجموعه داستان خود به نام «دید و بازدید» را در همین دوران منتشر کرده بود. او که تاثیری گسترده بر جریان روشنفکری دوران خود داشت، به جز نوشتن داستان به نگارش مقالات اجتماعی، پژوهش های مردم شناسی، سفرنامه ها و ترجمه های متعددی نیز پرداخت. شاید مهم ترین ویژگی ادبی آل احمد نثر او بود. نثر,58250,3.04,Persian,662,Jalal Al-e Ahmad,107 pages,از رنجی که می بریم,Paperback
Zwarte Beertjes 762,"In de gehele loopbaan van commissaris Maigret was het nog niet voorgekomen dat er een aanslag werd gepleegd op een clochard. Eigenlijk waren clochards haast nooit bij misdaden betrokken, zeker niet als slachtoffer van zo'n zwaar misdriijf als een moordaanslag. De Centrale Recherche had dan ook maar zelden met ze te maken, clochards leven ver verwijderd van de gewone burgers en zeker even ver van de wereld waar de commissaris dagelijks mee te maken kreeg. Toch zou Maigret aan de 'onbetekenende' zaak van de Dokter, zoals de bijna vermoorde clochard doorz zijn lotgenoten werd genoemd, evenveel aandacht besteden als aan een aanslag op een vooraanstaand persoon, die altijd heel wat meer beroering wekt. Wanneer hij tenslotte de geheimzinnigeheid omtrent het slachtoffer en de dader heeft opgehelderd en zekerheid heeft verkregen over zijn vermoedens, dan zal toch het laatste woord aan de clochard zijn en niet aan de commissaris.",25543523,3.6,                                  ,446,Georges Simenon,188 pages,Maigret et le clochard,Mass Market Paperback
Abridged,"Has food become your enemy? Now you can call a truce by consulting the one expert you can really trust-your own body. In this audio adaptation of their book Intuitive Eating, dietitian Evelyn Tribole and nutrition therapist Elyse Resch enable you to break free of the tyranny of dieting and create a healthy relationship with food. Listeners will learn their 10 groundbreaking principles for: letting your body guide your eating habits by honouring your hunger, finding satisfaction in your eating, feeling true fullness, challenging the inner ""food judge,"" coping with your emotions without using food, and much more.",4546955,4.17,English,3469,Elyse Resch,4 pages,Intuitive Eating: A Revolutionary Program That Works,Audio CD
Second Edition,"Desperation causes the Athsheans, led by Selver, to retaliate against their captors, abandoning their structures against violence. But in defending their lives, t",9871439,3.9,                                  ,9060,Ursula K. Le Guin,189 pages,The Word for World Is Forest,Paperback
First,"Tang-Ki worship is the oldest religion of the Chinese people yet contemporary in its pratices. Little academic documentation has been written about Tang-Ki rituals, which use self-multilation and theatrical performances to temporary encompasses the body of gods. Chan's book not only includes thorough research written in a lyrical way, but full color photos of worshippers in practice. Provocative and theatrical, this book is only for the strong-willed and curious.",1246811,4.0,English,1,Margaret Chan,208 pages,"Ritual Is Theatre, Theatre Is Ritual; Tang-Ki: Chinese Spirit Medium Worship",Paperback
Laurentian Library no 8,"This is a mature and moving record of human experience: of a father possessed by his hopes for his only son: of a son who rebels against his father’s ideals yet sacrifices himself to preserve what his father most prizes; and of a grandson who must learn to reconcile the flaws in his inheritance. The almost Biblical story is embodied in the lives of everyday people - Abraham the butcher, Isaac the tailor, Moses the music student. They are surrounded by a flesh-and-blood supporting cast, both comic and pathetic: the women they love, the loyal confidant, the local busybody, the people they work and worship with and fight with, who emerge as vivid individuals. It is a work of broad humanity, full of lively humor, without a grain of cynicism, completely genuine and touching. It received the Governor-General’s Award for Fiction in 1956.",322502,3.59,English,80,Adele Wiseman,346 pages,The Sacrifice,Mass Market Paperback
Abridged,"Warren Murphy was an American author, most famous as the co-creator of The Destroyer series, the basis for the film Remo Williams: The Adventure Begins. He worked as a reporter and editor and after service during the Korean War, he drifted into politics.",6550542,4.02,English,92,Warren Murphy,0 pages,Last Rites,Audio Cassette
15th edition,"  More than 17,000 reviews, plus cast and credits lists.",86823,4.23,English,13,Time Out Guides,1750 pages,Time Out Film Guide 2007 (Time Out Guides),Paperback
"Panorama de narrativas, 239","In this novel of social drama, a casual murder in the small Georgia town of Cotton Point just after World War II and the resulting court case cleave open the ugly divisions of race and class. The man accused of shooting a black girl, a storekeeper named Paris Trout, has no great feeling of guilt, nor fear that the system will fail to work his way. Trout becomes an embarrassment to the polite white society that prefers to hold itself high above such primitive prejudice. But the trial does not allow any hiding from the stark reality of social and racial tensions.",11859,3.86,Spanish,5192,Pete Dexter,357 pages,Paris Trout ,Paperback
Revised Edition,--More than 30 new species described and illustrated,425641,4.16,English,19,William Carey Grimm,695 pages,The Illustrated Book of Trees: The Comprehensive Field Guide to More Than 250 Trees of Eastern North America,Paperback
Large Print,(Greek: ,3166,3.91,English,5183,Plato,220 pages,Φαῖδρος,Paperback
الطبعة الأولى ,"ولد لأب ذو أصول كردية و أم تركية الأصل و كانت جدته لأبيه شركسية و جدته لأمه يونانية، دخل مدرسة ""المبتديان"" و أنهى الابتدائية و الثانوية بإتمامه الخامسة عشرة من عمره ، فالتحق بمدرسة الحقوق ، ثم بمدرسة الترجمة. ثم سافر ليدرس الحقوق في فرنسا على نفقة الخديوي توفيق بن إسماعيل. أقام في فرنسا ثلاثة أعوام حصل بعدها على الشهادة النهائية في 18 يوليو 1893م. نفاه الإنجليز إلى إسبانيا واختار المعيشة في الأندل",22590226,4.33,"
                  ",295,أحمد شوقي,360 pages,الشوقيات لأمير الشعراء أحمد شوقي,Hardcover
Anniversary Edition,"Richard Mason has returned, instigating a sequence of events which will expose Rochester’s disloyalty to Jane, his murderous plots, and innumerable other sins. Drawn into",25533215,4.06,                                  ,94,Luccia Gray,377 pages,All Hallows at Eyre Hall,Kindle Edition
Verso Radical Thinkers,Philology cross-examines Freud in this sustained critique of psychoanalysis and its foundational notion of the slip. Challenging virtually every account of linguistic error in ,1175877,3.5,English,10,Sebastiano Timpanaro,288 pages,On Freudian Slip: Psychoanalysis and Textual Criticism,Paperback
P.S. Edition,"Soon after, the Richters and their adopted son, Abel, move in across the street. Louise's immediate devotion to the exotic, motherly Mrs. Richter is",1167774,3.62,English,1293,Barbara Gowdy,372 pages,The Romantic,Paperback
Third Edition,Chapter 6 PowerPoint ,2620135,3.25,English,4,Raymond J. Sacks,1120 pages,Welding: Principles & Practices,Hardcover
Tenth Anniversary 1995-2005,"Then Will steps through a window into another world - the dangerous world of Cittàgazze, where soul-eating Spectres haunt the streets, and a strange, savage girl called Lyra Silvertongue is searching for Dust. Their meeting is no ac",632206,4.1,English,272581,Philip Pullman,332 pages,The Subtle Knife,Hardcover
Magnum Easy Eye Edition," is one of the greatest autobiographies ever written. Its mantras of black economic empowerment, land ownership & selfhelp inspired generations of leaders, including Marcus Garvey, Elijah Muhammad, Malcolm X & Louis Farrakhan. In rags-to-riches fashion,",21899016,4.09,"
                  ",17753,Booker T. Washington,318 pages,Up from Slavery,Paperback
1,"Brick Wilson’s adventure takes the reader crashing through universes, galaxies, circuits and alternate realities where anything can and does happen. On his search for the lost (or was it stolen?) Pesnort, Brick is continually challenged by dangers real and imagined as he skillfully avoids the Ultimate Galactic Headquarters Tax Authority, dodges the increasingly menacing plots for his demise by arch nemesis Terd Murchison, and is continually stalked and mocked by the color Red. Can he save the Pesnort, the Universe and himself with a psychotic android in tow? ",25758268,4.0,English,2,Marq Truong,242 pages,Brick Wilson: For Hire,Paperback
First Pocket Books printing," series. Hitchhiker's began on radio, and developed into a ""trilogy"" of five books (which sold more than fifteen million copies during his lifetime) as well as a television series, a comic book series, a computer game, and a feature film that was co",1270006,4.19,English,147861,Douglas Adams,227 pages,"Life, the Universe and Everything",Paperback
Large Print,"Janette Oke writes with a profound simplicity of what she knows best—real life, honest love, and lasting values. With over 23 million in sales, her historical novels portray the lives of early North American settlers from many walks of life and geographical settings. She also writes engaging children's stories and inspiring gift books that warm the heart.",3147524,3.75,English,1605,Janette Oke,383 pages,Too Long a Stranger,Paperback
Special Edition,Antoine Henri de Jomini was one of Napoleon's most capable generals. He contributed to almost all of Napoleon's majo,128860,3.66,English,260,Antoine-Henri de Jomini,320 pages,Précis de l'art de la guerre,Paperback
Large Print,"In this quintessential adventure story, Jack London takes readers on an arduous journey through the forbidding Alaskan landscape during the gold rush of the 1890s. Buck, a rangy mixed breed used to a comfortable, sun-filled life as a family dog, is stolen by a greedy opportunist and sold to dog traffickers. In no time, Buck finds himself on a team of sled dogs run ragged in the harsh winter of the Klondike. In a climate where every day is a savage struggle for survival, the last traces of Buck's soft, pampered existence are erased as his dormant primordial urges -- deeply embedded for generations -- are brutally awakened. ",37673,3.83,English,250828,Jack London,128 pages,The Call of the Wild,Hardcover
First Edition,Franey reports on each of France's major gastronomic areas. He includes his own recipes as well as specialtie,518471,3.89,English,9,Pierre Franey,322 pages,Pierre Franey's Cooking In France,Hardcover
Second Edition,"Few historical events have inspired so much controversy and debate as the French Revolution. The origins, nature and effects of the Revolution have been the themes of a voluminous literature, especially since the 1950s, and there has been sharp disagreement among historians about them. This book discusses the present state of the controversy and provides detailed suggestions for further reading. Blanning explains the different interpretations advanced by Marxist, revisionist and post-revisionist historians in order to provide students with access to the literature and to help them to form their own views.",717900,4.18,English,11,Timothy C.W. Blanning,104 pages,The French Revolution: Aristocrats versus Bourgeois? (Studies in European History),Paperback
New Clarendon Shakespeare,"William Shakespeare (baptised 26 April 1564) was an English poet and playwright, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"" (or simply ""The Bard""). His surviving works consist of 38 plays, 154 sonnets, two long narrative poems, and several other poems. His plays have been tr",1090544,3.76,"
                  ",14240,William Shakespeare,206 pages,The tragedie of King Richard the second,Paperback
 (Penguin Readers Level 6),"John Steinbeck III was an American writer. He wrote the Pulitzer Prize-winning novel The Grapes of Wrath, published in 1939 and the novella Of Mice and Men, published in 1937. In all, he wrote twenty-five books, including sixteen novels, six non-fiction books and several collections of short stories. ",4414,4.35,English,338958,John Steinbeck,95 pages,East of Eden  ,Paperback
Loveswept, His suspicious,57593,3.89,English,179,Iris Johansen,176 pages,"Matilda, the Adventuress",Mass Market Paperback
Revised and Updated,"Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Lolita Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.",7606,3.88,English,521111,Vladimir Nabokov,457 pages,Lolita,Paperback
Cliffs Quick Review,"When it comes to pinpointing the stuff you really need to know, nobody does it better than CliffsNotes. This fast, effective tutorial helps you master core grammar, usage, and concepts - from parts of speech, punctuation, and clauses to common sentence errors, misused words, and the elements of style - and get the best possible grade.At CliffsNotes, we're dedicated to helping you do your best, no matter how challenging the subject. Our authors are veteran teachers and talented writers who know how to cut to the chase - and zero in on the essential information you need to succeed.",75443,3.82,English,38,Jean Eggenschwiler,224 pages,"Writing: Grammar, Usage, and Style (Cliffs Quick Review)",Paperback
First Perennial Classics Edition,"""The stories are rich and startling in their matter and confident in their manner....They are--the word cannot be avoided--magical.""--John Updike, ",1259542,3.89,English,10332,Gabriel García Márquez,192 pages,La increíble y triste historia de la cándida Eréndira y de su abuela desalmada,Paperback
Classic Reprint,Before the War ,26378005,4.0,English,2,C.J. Dennis,120 pages,Digger Smith,Paperback
2nd Edition,"One of the Top 100 Spiritual Books of the Twentieth Century New Bonus Materials added to this edition include The last chapter that Yogananda wrote covering the years 1946-1951 that was not available in the original edition. The eulogy that Yogananda wrote for Gandhi. A new afterword by Swami Kriyananda, one of Yogananda's close",26163,4.22,English,32014,Paramahansa Yogananda,522 pages,Autobiography of a Yogi,Paperback
Abridged,"Starfleet's most sacred commandment has been violated. Its most honored captain is in disgrace, its ",847348,3.99,English,1741,Judith Reeves-Stevens,0 pages,Prime Directive (Star Trek: The Original Series),Audio
1st Edition,"Iain MacLeon, chieftain of the clan MacLeon, has one",18752278,3.62,"
                  ",282,Jamie Carie,142 pages,A Highlander For Christmas,Kindle Edition
Penguin Great Books of the 20th Century,The boys' struggle to find a way of existing in a community with no fixed boundaries i,2713696,3.64,English,1684544,William Golding,182 pages,Lord of the Flies ,Paperback
2nd Edition, Announcing the completely revised third edition of ,98,3.86,English,13305,Heidi Murkoff,832 pages,What to Expect the First Year,Paperback
Large Print,"He is best known, however, for his 75",1683551,3.77,                                  ,652,Georges Simenon,191 pages,La folle de Maigret,Paperback
2nd Edition,The coming of the Avatars and the Time of Troubles caused tremendous changes in the Forgotten Realms. Areas of dead magic and wild magic have appeared; char,285261,3.81,English,606,Jeff Grubb,210 pages,Forgotten Realms: Adventures (Advanced Dungeons & Dragons),Hardcover
Large Print,"There was only one thing which Robert Dudley could not do, and that was to make any woman cease to love him. Now that Elizabeth was Queen of England, the romance which began with their shared captivity in the grim Tower of London blossomed into a mutual longing.. With the crown so nearly in his grasp, how could Robert let Amy Robsart, his sweet young wife, stand between him and the sons the Queen must bear?",817175,3.79,English,648,Jean Plaidy,600 pages,Gay Lord Robert ,Hardcover
Abridged,"Meet Linda Breland, single parent of two teenage daughters. The oldest, Lindsey, who always held her younger sister in check, is leaving for college. And Gracie, her Tasmanian devil, is giving her nightmares. Linda's personal life? Well, between the married men, the cold New Jersey winters, her pinched wallet and her ex-husband who marries a beautiful, successful woman ten years younger than she is—let's just say, Linda has seen enough to fill a thousand pages.",2471173,4.04,English,7198,Dorothea Benton Frank,0 pages,Shem Creek,Audio CD
Large print edition,"Life is the strangest thing. One minute, Mrs. Elner Shimfissle is up in her tree, picking",836462,3.89,English,14282,Fannie Flagg,402 pages,Can't Wait to Get to Heaven,Hardcover
Primera edición,"Smaug parecía profundamente dormido cuando Bilbo espió una vez más desde la entrada. ¡Pero fingía estar dormido! ¡Estaba vigilando la entrada del túnel!... Sacado de su cómodo agujero-hobbit por Gandalf y una banda de enanos, Bilbo se encuentra de pronto en medio de una conspiración que pretende apoderarse del tesoro de Smaug el Magnífico, un enorme y muy peligroso dragón...",1425869,4.25,Spanish,2210768,J.R.R. Tolkien,310 pages,The Hobbit : or There and Back Again,Paperback
Third Edition,"A classic developmental skills text for intermediate to advanced students of English, Understanding and Using English Grammar is a comprehensive reference grammar as well as a stimulating and teachable classroom text. While keeping the same basic approach and material as in earlier editions, the Third Edition more fully develops communicative and interactive language-learning activities. Some of the new features are: *Numerous ""real communication"" opportunities *More options for interactive work in pairs and groups *Additional open-ended communicative tasks for both speaking and writing *Expanded error analysis exercises *Interesting and lively new exercise material *Shorter units for easy class use The program components include the Student Book, Workbook, Chartbook, Teacher's Guide, and Companion Website. Also available: Understanding and Using English Grammar Interactive (a multimedia CD-ROM).",1203845,4.1,English,809,Betty Schrampfer Azar,437 pages,Understanding and Using English Grammar,Paperback
Abridged," began writing a weekly newspaper column about life in America for a British publication, ",955995,3.89,English,49668,Bill Bryson,0 pages,Notes from a Big Country,Audio Cassette 
Young Reader's Edition,I was born illegitimately in 1933 in South Africa and spent my early childhood years in a small town deep in the heart of the Lebombo mountains.,151480,4.34,English,61136,Bryce Courtenay,8 pages,The Power of One,Audiobook
Harlequin Everlasting Love #8,"Frank and Marian Robertson would tell you there's no easy answer. Love, yes, but more than that-- a willingness to be guided by love, to be changed by it... If Frank and Marian have a secret, that's it. When they met in 1929, they realized they were destined to spend the rest of their lives together. However, wanting a life together and making one are two different things. And the obstacles they faced-- parental disapproval, even tragedy-- sometimes seemed too much to bear. But through it all, Frank and Marian shared a love that's lasted, a love that affects everyone in their family, right down to their great-granddaughter Hannah. She's busy planning their seventy-fifth wedding anniversary, and is doing some digging into her family's past, her family's stories. Stories that explain what shaped her family...",1052584,2.71,"
                  ",7,Tessa McDermid,280 pages,"
                  0373654103
                      ",Paperback
1,"But when their friend Reo is shot, and a group of stranded angels shows up at their house for help finding a missing child, things are striking too close to home.",19151084,4.65,"
                  ",65,Maer Wilson,316 pages,"
                  1494209039
                      ",Paperback
Second Edition,"This exciting series focuses on the vitality and uniqueness of the world's greatest cities. Each volume is superbly designed and produced, yet ingeniously practical, with lavish photography, easy-to-read maps, and informed and enjoyable texts. ",1353111,4.0,English,5,Alice Twemlow,192 pages,StyleCity New York,Paperback
Prima edizione mondiale,. Chi conosce i libri di Kundera sa che il desiderio di incorporare in un romanzo una goccia di «non serietà» non è cosa nuova per lui. Nell',18713903,3.29,Italian,7514,Milan Kundera,136 pages,La fête de l'insignifiance,Paperback
Spanish Edition,OUR STORY,797,4.01,Spanish,478,Lonely Planet,480 pages,Londra,Paperback
