Language,numberofpages,author,bookEdition,description,title,GoodReadAverageRating,bookformat,NumberofRatings,id
English,166 pages,Bill Willingham,Trade,"For Bigby Wolf, the father of her soon-to-be newborns, tha","Fables, Volume 5: The Mean Seasons",4.19,Paperback,18408,21330
English,273 pages,Alexander Gordon Smith,1st Edition, and ,Lockdown,4.1,Hardcover,15683,6420846
English,805 pages,Robert Shea,Trade Paperback,"It was a deadly mistake. Joseph Malik, editor of a radical magazine, had snooped into rumors about an ancient secret society that was still alive and kicking. Now his offices have been bombed, he's missing, and the case has landed in the lap of a tough, cynical, streetwise New York detective. Saul Goodman knows he's stumbled onto something big—but even he can't guess how far into the pinnacles of power this conspiracy of evil has penetrated.",The Illuminatus! Trilogy,4.0,Paperback,13200,57913
English,304 pages,Joseph Conrad,Oxford World's Classics,"Mr Verloc, the secret agent, keeps a shop in London's Soho where he lives with his wife Winnie, her infirm mother, and her idiot brother, Stevie. When Verloc is reluctantly involved in an anarchist plot to blow up the Greenwich Observatory things go disastrously wrong, and what appears to be ""a simple tale"" proves to involve politicians, policemen, foreign diplomats and London's fashionable society in the darkest and most surprising interrelations.",The Secret Agent: A Simple Tale,3.59,Paperback,14409,86658
English,455 pages,Mary Elizabeth Braddon,Oxford World's Classics,"This Victorian bestseller, along with Braddon's other famous novel, Aurora Floyd, established her as the main rival of the master of the sensational novel, Wilkie Collins. A protest against the passive, insipid 19th-century heroine, Lady Audley was described by one critic of the time as ""high-strung, full of passion, purpose, and movement."" Her crime (the secret of the title) is shown to threaten the apparently respectable middle-class world of Victorian England.",Lady Audley's Secret,3.73,Paperback,15510,588747
English,451 pages,Steve Martini,Large Print,"Martini's first career was in journalism. He worked as a newspaper reporter for the Los Angeles Daily Journal, the largest legal newspaper in the country covering the state, the local courts and the civic center beat. In 1970 he became the newspaper’s first correspondent at the State Capitol in Sacramento and later its bureau chief. There he specialized in legal and political coverage. During this",The List,3.95,Paperback,11894,2430
English,726 pages,America's Test Kitchen,Revised Edition,"A revision of the Fall 2005 BookSense pick and bestseller, this edition features a new light recipe chapter, more than 1500 color photos, heavy duty paper and binding, over 2 dozen new recipes, and handy new cooking charts. This instant classic belongs on the shelf of every home cook. Publisher's Weekly called it ""a foolproof, go-to resource for everyday cooking."" The new edition is bound on five rings, shrink-wrapped, and durably packaged.",The America's Test Kitchen Family Cookbook,4.31,Spiral-bound,12376,3888
English,464 pages,James Rollins,1st,"Galilee, 1025. A cunning Templar knight uncovers a holy treasure: the Bachal Isu — the staff of Jesus Christ — a priceless icon that holds a mysterious and terrifying power that will forever change humanity if unleashed.",Bloodline,4.23,Hardcover,15326,13148921
English,305 pages,Spencer Quinn,First Atria Books hardcover edition,", the first entry in Spencer Quinn's new mystery series. ",Dog on It,3.85,Hardcover,15658,5600151
English,333 pages,Laurell K. Hamilton,First Edition,"Laurell K. Hamilton is one of the leading writers of paranormal fiction. A #1 New York Times bestselling author, Hamilton writes the popular Anita Blake, Vampire Hunter novels and the Meredith Gentry series. She is also the creator of a bestselling comic book series based on her Anita Blake novels and published by Marvel Comics. Hamilton is a full-time writer and lives in the suburbs of St. Louis",Divine Misdemeanors ,4.04,Hardcover,21471,6098691
English,343 pages,Sherrilyn Kenyon,1st Edition,"New York Times and international bestselling author Sherrilyn Kenyon is a regular at the #1 spot. With legions of fans known as Menyons (thousands of whom proudly sport tattoos from her series and who travel from all over the world to attend her appearances), her books are always snatched up as soon as they appear on store shelves. Since 2004, she had placed more than 80 novels on the New York Times list in all formats including manga and graphic novels. Her current series are: Dark-Hunter, Chronicles of Nick and The League, and her books are available in over 100 countries where eager fans impatiently wait for the next release. Her Chronicles of Nick and Dark-Hunter series are soon to be major motion pictures while Dark-Hunter is also being developed as a television series. Join her and her Menyons online at SherrilynKenyon.com and ",No Mercy,4.28,Hardcover,21452,7200351
English,282 pages,Sherrilyn Kenyon,First Edition,At one time he was a world-renowned celebrity who gave freely of himself and his money without wanting anything in return...until those around him took without asking. Now Aidan wants nothing of the world--or anyone who's a part of it. ,Upon the Midnight Clear,4.0,Mass Market Paperback,22977,490403
English,400 pages,Sandra Brown,Canadian Trade Export Edition,"When Detective Sergeant Duncan Hatcher is summoned to the home of Judge Cato Laird in the middle of the night to investigate a fatal shooting, he knows discretion and k",Ricochet,3.97,Paperback,14917,30343
English,422 pages,Mary Kay Andrews,First edition,"After her boss in a high-powered Washington public relations firm is caught in a political scandal, fledgling lobbyist Dempsey Jo Killebrew is left almost broke, unemployed, and homeless. Out of options, she reluctantly accepts her",The Fixer Upper,3.88,Hardcover,15925,5941079
English,519 pages,Jonathan Maberry,1st Edition,"Six months have passed since the terrifying battle with Charlie Pink-eye and the Motor City Hammer in the zombie-infested mountains of the Rot & Ruin. It’s also six months since Benny Imura and Nix Riley saw something in the air that changed their lives. Now, after months of rigorous training with Benny’s zombie-hunter brother Tom, Benny and Nix are ready to leave their home forever and search for a better future. Lilah the Lost Girl and Benny’s best friend Lou Chong are going with them. ",Dust & Decay,4.29,Hardcover,14651,9917998
English,207 pages,Jo Nesbø,American Edition,This is the story of Olav: an extremely talented “fixer” for one of Oslo’s most powerful crime bosses. But Olav is,Blod på snø,3.51,Hardcover,14182,23602504
"
                  ",273 pages,Abbi Glines,1st edition,"Harlow had taken the chance, falling hard and fast for the guy who thrilled her with his all-co",One More Chance,4.29,Kindle Edition,25482,17835766
English,640 pages,Doris Lessing,Perennial Classics edition,"Both of her parents were British: her father, who had been crippled in World War I, was a clerk in the Imperial Bank of Persia; her mother had been a nurse. In 1925, lured by the promise of getting rich through maize farming, the family moved to the British colony in Southern Rhodesia (now Zimbabwe). Like other women writers from southern African who did not graduate from high school (such as ",The Golden Notebook,3.75,Paperback,15484,24100
English,104 pages,Neil Gaiman,World Book Day Edition,"And Odd has run away from home, even though he can barely walk and has to use a crutch.",Odd and the Frost Giants,3.94,Paperback,20478,2108198
                                  ,323 pages,Tammy Falkner,First Edition,"Logan Reed is tall, tatted and tempting. Kit’s a woman with a mean right hook and a secret.",B00DGK7WAM,4.22,Kindle Edition,25109,18089551
English,157 pages,Anthony Hope,Penguin Popular Classics,"Anthony Hope's swashbuckling romance transports his English gentleman hero, Rudolf Rassendyll, from a comfortable life in London to fast-moving adventures in Ruritania, a mythical land steeped in political intrigue. Rassendyll bears a striking resemblance to Rudolf Elphberg who is about to be crowned King of Ruritania. When the rival to the throne, Black Michael of Strelsau, attempts to seize power by imprisoning Elphberg in the Castle of Zenda, Rassendyll is obliged to impersonate the King to uphold the rightful sovereignty and ensure political stability. Rassendyll endures a trial of strength in his encounters with the notorious Rupert of Hentzau, and a test of a different sort as he grows to love the Princess Flavia. Five times filmed, The Prisoner of Zenda has been deservedly popular as a classic of romance and adventure since its publication in 1894.",The Prisoner of Zenda,3.87,Paperback,14817,54492
English,192 pages,Neil Gaiman,Graphic Novel,"But there's another mother there and another father, and they want",Coraline,3.96,Hardcover,16333,1967070
", ",290 pages,Alessandra Torre,1st Edition,Became a tech billionaire by his twentieth birthday. Has been in a relationship with me for 3 years.,Black Lies,4.32,Kindle Edition,23060,22471294
English,336 pages,William Shakespeare,Folger Shakespeare Library,Claudio’s,Measure for Measure,3.67,Paperback,17692,91571
English,308 pages,G.P. Ching,1st Edition,"But in exchange she requires Jacob to train as a Soulkeeper, a protector of human souls. He agrees to h",The Soulkeepers (The Soulkeepers #1),3.71,Paperback,13578,10897866
English,508 pages,J.R. Ward,First Edition,"Nothing is as it used to be for the Black Dagger Brotherhood. After avoiding war with the Shadows, alliances have shifted and lines have been drawn. The slayers of the Lessening Society are stronger than ever, preying on human weakness to acquire more money, more weapons, more power. But as the Brotherhood readies for an all-out attack on them, one of their own fights a battle within himself…",The Beast,4.45,Hardcover,18218,25293695
"
                  ",326 pages,Ilona Andrews,1st Edition,"Bonus: Kate Daniels novella ""Magic Gi",Gunmetal Magic,4.27,ebook,24617,12288282
"
                  ",244 pages,يوسف زيدان,الطبعة الرابعة,بطل هذه الرواية شاب مصري سوداني يتسم بالبراءة والتدين، ويعمل كمرشد سياحي في الأقصر وأسوان. كانت أقصى أحلام هذا الشاب هي الزواج من فتاة نوبية جميلة ليبدأ حياة سعيدة هانئة، ولكن نظام حياته المسالم والممل ينقلب رأسا على عقب بعد مقابلة مع أسامة بن لادن في السودان في أوائل التسعينيات.,محال,3.31,Paperback,10151,11995136
English,305 pages,Charlaine Harris,First Edition,"Though her early output consisted largely of ghost stories, by the time she hit college (Rhodes, in Memphis) Charlaine was wr",Midnight Crossroad,3.64,Hardcover,20440,18107951
English,976 pages,Andrew Solomon,US / Canada," is that being exceptional is at the core of the human condition—that difference is what unites us. He writes about families coping with deafness, dwarfism, Down's syndrome, autism, schizophrenia, or multiple severe disabilities; with children who are prodigies, who are conceived in rape, who become criminals, and who are","Far from the Tree: Parents, Children, and the Search for Identity",4.26,Hardcover,13360,13547504
English,427 pages,Steven Hall,First Edition,"Eric Sanderson wakes up in a house one day with no idea who or where he is. A note instructs him to see a Dr. Randle immediately, who informs him that he is undergoing yet another episode of acute memory loss that is a symptom of his severe dissociative disorder. Eric's been in Dr. Randle's care for two years -- since the tragic death of his great love, Clio, while the two vacationed in the Greek islands.",The Raw Shark Texts,3.87,Hardcover,13886,144800
English,359 pages,Laurell K. Hamilton,First Edition,But even,Kiss the Dead,3.79,Hardcover,20666,12383252
English,286 pages,Adele Faber,20th Anniversary Edition,Recently revised and updated with fresh insights and su,How to Talk So Teens Will Listen and Listen So Teens Will Talk,4.24,Paperback,14125,769016
"
                ",449 pages,John Sandford,Mass Market Paperback, bestselling series. Lucas Davenport goes on a city-to-city search for a bizarre ritualistic killer.,9780425208847,3.99,Paperback,16835,168571
English,336 pages,Hannah Harrington,Australian,"Harper Scott’s older sister has always been the perfect one — so when June takes her own life a week before her high school graduation, sixteen-year-old Harper is devastated. Everyone’s sorry, but no one can explain why.",Saving June,3.97,Paperback,16296,10947600
English,339 pages,Sara Shepard,First Edition,Aria's love life is on the fritz. Emily's exploring her wild side. Hanna's kissing the enemy. And someo,Ruthless,3.93,Hardcover,17936,10429037
English,314 pages,Piers Anthony,LCC 8747742,"Though he spent the first four years of his life in England, Piers never returned to live in his country of birth after moving to Spain and immigrated to America at age six. After graduating with a B.A. from Goddard College, he married one of his fellow students and and spent fifteen years in an assortment of professions before he began writing fiction full-time.","Being a Green Mother (Incarnations of Immortality, #5)",3.95,Paperback,16035,76661
English,464 pages,Colleen Houck,1st Edition,"It's a race against time, and the evil sorcerer Lokesh,",Tiger's Destiny,4.41,Hardcover,19521,12677913
English,545 pages,Douglas Preston,"First  Edition, Large Print","Devastated by the discovery that his wife, Helen, was murdered, Special Agent Pendergast must have retribution. But revenge is not simple. As he stalks his wife's betrayers—a chase that takes him from the wild moors of Scotland to the bustling streets of New York City and the darkest bayous of Louisiana—he is also forced to dig further into Helen's past. And he is stunned to learn that Helen may have been a collaborator in her own murder.",Cold Vengance,4.09,Hardcover,16880,9489502
English,310 pages,Sherrilyn Kenyon,1st Edition,"While the world carries on unawares, Stryker, who leads an army of demons and vampires, is plotting an all out onslaught against his enemies—which, unfortunately for us, includes the entire human race. To avenge his sister, Stryker prepares to annihilate the Dark-Hunters. But things go awry when his oldest enemy returns. Enter his ex-wife. Zephyra. Just when he thought nothing could stop him, he's now embroiled in a centuries old war with a shrew who gives new meaning to pain.",One Silent Night,4.13,Paperback,23399,3122173
English,530 pages,J.M. Darhower,1st edition,"Both now seventeen, a twist of fate causes their worlds to colli",Sempre,4.2,Paperback,23681,13111733
"
                  ",414 pages,Alessandra Torre,1st Edition,!,Hollywood Dirt,4.12,Kindle Edition,22442,25802884
English,382 pages,Christine Feehan,2nd Edition,And out of the darkn,Dark Gold (Dark #3),4.16,Mass Market Paperback,21078,108385
English,56 pages,T.S. Eliot,Illustrated Edition," was a poet, dramatist and literary critic. He received the Nobel Prize in Literature in 1948 ""for his outstanding, pioneer contribution to present-day poetry."" He wrote the poems ",Old Possum's Book of Practical Cats,4.09,Hardcover,17605,402128
English,240 pages,Darren Shan,First US Edition,Librarian's note: Also writes books for adults under the name ,"Sons of Destiny (Cirque Du Freak, Book 12)",4.22,Hardcover,16542,8948
English,1040 pages,R.A. Salvatore,Collector's Edition,"As one of the fantasy genre’s most successful authors, R.A. Salvatore enjoys an ever-expanding and tremendously loyal following. His books regularly appear on The New York Times best-seller lists and have sold more than 10,000,000 copies. Salvatore’s original hardcover, The Two Swords, Book III of The Hunter’s Blade Trilogy (October 2004) debuted at # 1 on The Wall Street Journal best-seller list and at # 4 on The New York Times best-seller list. His books have been translated into numerous foreign languages including German, Italian, Finnish, Greek, Hungarian, Turkish, Croatian, Bulgarian, Yiddish, Spanish, Russian, Polish, Portuguese, Czech, and French.","The Icewind Dale Trilogy Collector's Edition (Forgotten Realms: Icewind Dale, #1-3)",4.28,Paperback,12810,62485
English,512 pages,Alastair Reynolds,Free edition with SFX magazine-August 2010,"Six million years ago, at the dawn of the star-faring era, Abigail Gentian fractured herself into a thousand male and female clones, which she called shatterlings. But now, someone is eliminating the Gentian line. Campion and Purslane-two shatterlings who have fallen in love and shared forbidden experiences-must determine exactly who, or what, their enemy is, before they are wiped out of existence.",House of Suns,4.19,Paperback,14898,1126719
English,24 pages,Edgar Allan Poe,BookSurge Classics,"The name Poe brings to mind images of murderers and madmen, premature burials, and mysterious women who return from the dead. His works have been in print since 1827 and include such literary classics as ",The Black Cat,4.07,Paperback,19126,391724
English,426 pages,John Steakley,Daw #605,"Felix is an Earth soldier, encased in special body armor designed to withstand Earth's most implacable enemy-a bioengineered, insectoid alien horde. But Felix is also equipped with internal mechanisms that enable him, and his fellow soldiers, to survive battle situations that would destroy a man's mind.",Armor,4.12,Mass Market Paperback,14266,102327
English,312 pages,Stephen King,signed slipcased artist edition,"""The Man in Black fled across the desert and the Gunslinger followed."" This is our intr",The Little Sisters of Eluria,4.24,Hardcover,14559,6356190
English,269 pages,Graham Greene,Vintage Classics,"Henry Graham Greene, OM, CH was an English novelist, short story writer, playwright, screenplay writer, travel writer and critic whose works explore the ambivalent moral and political issues of the modern world. Greene combined serious literary acclaim with wide popularity.",Brighton Rock,3.72,Paperback,16486,48862
English,314 pages,Piers Anthony,LCC 867900,"Though he spent the first four years of his life in England, Piers never returned to live in his country of birth after moving to Spain and immigrated to America at age six. After graduating with a B.A. from Goddard College, he married one of his fellow students and and spent fifteen years in an assortment of professions before he began writing fiction full-time.",Wielding a Red Sword,3.93,Paperback,16694,76667
English,307 pages,Karen Chance,1st Edition,The undead are another matter.,Touch the Dark,3.7,Mass Market Paperback,28469,67513
English,274 pages,Friedrich A. Hayek,Fiftieth Anniversary Edition," has inspired and infuriated politicians, scholars, and general readers for half a century. Originally published in England in the spring of 1944—when Eleanor Roosevelt supported the efforts of Stalin, and Albert Einstein subscribed lock, stock, and barrel to the so",The Road to Serfdom,4.18,Paperback,14035,299215
English,420 pages,Sherrilyn Kenyon,First Edition,"His new principal thinks he's even more of a hoodlum than the last one, his coach is trying to recruit him to things he can't even mention and the girl he's not seeing, but is,",Invincible (Chronicles of Nick #2),4.27,Hardcover,21816,8677937
English,872 pages,John Galsworthy,"Oxford World's Classics, UK / USA",Written with both c,The Forsyte Saga,4.15,Paperback,16179,103159
English,156 pages,Plato,Second Edition," presents G. M. A. Grube's distinguished translations, as revised by John Cooper for Plato, ","Euthyphro, Apology, Crito, Meno, Phaedo",4.1,Paperback,13716,30292
English,453 pages,Sergei Lukyanenko,First English,"Set in a modern-day Moscow, the epic saga chronicles the eternal war of the ""Others,"" an ancient race of humans wi",Дневной дозор,4.05,Paperback,17427,104160
English,286 pages,P.G. Wodehouse,Everyman Wodehouse,"Follow the adventures of Bertie Wooster and his gentleman’s gentleman, Jeeves, in this stunning new edition of one of the greatest comic novels in the English language. When Aunt Dahlia demands that Bertie Wooster help her dupe an antique dealer into selling her an 18th-century cow-creamer. Dahlia trumps Bertie's objections by threatening to sever his standing invitation to her house for lunch, an unthinkable prospect given Bertie's devotion to the cooking of her chef, Anatole. A web of complications grows as Bertie's pal Gussie Fink-Nottle asks for counseling in the matter of his impending marriage to Madeline Bassett. It seems Madeline isn't his only interest; Gussie also wants to study the effects of a full moon on the love life of newts. Added to the cast of eccentrics are Roderick Spode, leader of a fascist organization called the Saviors of Britain, who also wants that cow-creamer, and an unusual man of the cloth known as Rev. H. P. ""Stinker"" Pinker. As usual, butler Jeeves becomes a focal point for all the plots and ploys of these characters, and in the end only his cleverness can rescue Bertie from being arrested, lynched, and engaged by mistake!",The Code Of The Woosters,4.36,Hardcover,17185,105986
English,340 pages,Hugh Laurie,4th edition,"Within hours Lang is butting heads with a Buddha statue, matching wits with evil billionaires, and putting his life (among other things) in the hands of a bevy of femmes fatales, wh",The Gun Seller,3.69,Paperback,16634,45234
English,369 pages,Sherrilyn Kenyon,First Edition,Xypher has one month on Earth to redeem himself through one good deed or be condemned to eternal torture in Tartarus. But redemption means little to a demigod who only wants vengeance on the one who caused his downfall.,Dream Chaser,4.2,Mass Market Paperback,24768,1746470
French,32 pages,Leo Lionni,Petite Bibliothèque,"Leo Lionni wrote and illustrated more than 40 highly acclaimed children's books. He received the 1984 American Institute of Graphic Arts Gold Medal and was a four-time Caldecott Honor Winner--for Inch by Inch, Frederick, Swimmy, and Alexander and the Wind-Up Mouse. Leo Lionni died in October of 1999 at his home in Tuscany, Italy, at the age of 89.",Frederick,4.19,Hardcover,17568,375901
English,144 pages,Mike Mignola,Second Edition,"Mike Mignola was born September 16, 1960 in Berkeley, California and grew up in nearby Oakland. His fascination with ghosts and monsters began at an early age (he doesn't remember why) and reading ",Hellboy: Wake the Devil,4.2,Paperback,14514,102459
English,788 pages,Alexandre Dumas,Oxford World's Classics,", is a supreme creation of suspense and heroic adventure.",Vingt ans après,4.01,Paperback,16743,7184
English,324 pages,Dennis Lehane,First Edition,Amanda McCready was four years old when she vanished from a Boston neighborhood twelve years ago. Desperate pleas for help from the child's aunt led investigators Kenzie and Gennaro to take on the case. The pair risked everything to find the young girl—only to orchestrate her return to a neglectful mother and a broken home.,Moonlight Mile ,3.71,Hardcover,17414,7853757
English,144 pages,Mike Carey,Trade,"Tom Taylor's life was screwed from go. His father created the Tommy Taylor fantasy series, boy-wizard novels with popularity on par with Harry Potter. The problem is Dad modeled the fictional epic so closely to Tom's real life that fans are constantly comparing him to his counterpart, turning him into the lamest variety of Z-level celebrity. In the final novel, it's even implied that the fictional Tommy will crossover into the real world, giving delusional fans more excuses to harass Tom.","The Unwritten, Volume 1: Tommy Taylor and the Bogus Identity",3.76,Paperback,17087,6471550
English,475 pages,Ashwin Sanghi,1st Edition,"In modern times, a poor little rich boy grows up believing that he is",The Krishna Key,3.48,Paperback,12738,15733523
English,315 pages,Alan Bradley,First Edition,"Moments later, he is dead,",The Dead in Their Vaulted Arches,4.16,Hardcover,20385,17834904
English,456 pages,J.J. Abrams,Slipcase,"A young woman picks up a book left behind by a stranger. Inside it are his margin notes, which reveal a reader entranced by the story and by its mysterious author. She responds with notes of her own, leaving the book for the stranger, and so begins an unlikely conversation that plunges them both into the unknown.",S.,3.84,Hardcover,14192,17860739
English,360 pages,Terry Pratchett,First Edition,"Seventeen-year-old Dodger may be a street urchin, but he gleans a living from London's sewers, and he knows a jewel whe",Dodger,3.9,Hardcover,18939,13516846
English,312 pages,Scott Westerfeld,Razorbill,"Last year as college freshman, narrator Cal was infected by exotic goth Morgan with a parasite that caused following girlfriends to become vampire-like ghouls he calls parasite-positives ""Peeps"". A carrier without symptoms, he hunts his progeny for the centuries old bureaucratic Night Watch. But victims are showing more sanity, pretty human Lacey is pushing his buttons, and her apartment building basement houses fierce hordes of ravening rats, red-eyed cats, and monstrous worms that threaten all. Morgan has the secret to a centuries-old conspiracy and upcoming battle to save the human race.",Peeps,3.77,Paperback,22569,186103
English,405 pages,Anna Godbersen,1st Edition, ,Envy,3.91,Hardcover,22136,3347892
English,446 pages,Rachel Caine,Omnibus Edition,"In Morganville, violent black clouds promise a storm of devastating proportions. As student Claire Danvers and her friends prepare to defend Morganville against the elements - both natural ","The Morganville Vampires, Volume 3",4.39,Paperback,13950,8462184
"
                  ",242 pages,Abbi Glines,1st edition,Everyone in Rosemary Beach thinks they know how Rush Finlay and Blaire Wynn fell in love. But Rush is back to tell his side of the story...,"Rush Too Far (Too Far, #4)",4.24,Kindle Edition,26947,18211536
English,393 pages,Kevin D. Mitnick,First Edition,"Kevin Mitnick was the most elusive computer break-in artist in history. He accessed computers and networks at the world's biggest companies, and however fast the authorities were, Mitnick was faster, sprinting through phone switches, computer systems, and cellular networks. He spent years skipping through cyberspace, always three steps ahead and labeled unstoppable. For Mitnick, hacking wasn't just about technological feats; it was an old-fashioned confidence game that required guile and deception to trick the unwitting out of valuable information.",Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,3.95,Hardcover,15143,10256723
English,285 pages,L.J. Smith,Reissue,"Damon Mocking Stefan and Elena, he laughs in the face of doom.",The Fury,3.55,Mass Market Paperback,23946,1169808
English,40 pages,Walt Disney Company,Disney,"Walter Elias “Walt” Disney (December 5, 1901 – December 15, 1966) was an American film producer, director, screenwriter, voice actor, animator, entrepreneur,",Winnie the Pooh and Tigger Too,4.39,Hardcover,14245,2617684
English,220 pages,Darren Shan,First US Edition,"Plagued by nightmares of what the future seems to hold, Darren feels uneasy revisiting the place where he was re-born as a child of the night, as though the universe (as though destiny) is plotting t","Lord of the Shadows (Cirque Du Freak, #11)",4.22,Hardcover,17378,8949
                                  ,311 pages,Jay McLean,2nd edition,"Jake, a handsome boy she just met, happens to witness her loss. With no one to turn to, Mikayla is forced",B00DVEUGZ6,4.15,Kindle Edition,27809,18285151
English,320 pages,Garth Nix,First Edition,"Four of the seven Trustees have been defeated and their Keys taken, but for Arthur, the week is still getting worse. Suzy Blue and Fred Gold Numbers have been captured by the Piper, and his New Nithling army still controls most of the Great Maze. Superior Saturday is causing trouble wherever she can, including",Lady Friday,3.91,Hardcover,18658,17206
English,128 pages,Neil Gaiman,The Deluxe Edition, (,Batman: Whatever Happened to the Caped Crusader?,3.97,Hardcover,15158,5599692
English,560 pages,John M. Barry,Revised Edition,"At the height of WWI, history’s most lethal influenza virus erupted in an army camp in Kansas, moved east with American troops, then exploded, killing as many as 100 million people worldwide. It killed more people in twenty-four months than AIDS killed in twenty-four years, more in a year than the Black Death killed in a century. But this was not the Middle Ages, and 1918 marked the first collision of science and epidemic disease. Magisterial in its breadth of perspective and depth of research and now revised to reflect the growing danger of the avian flu, ",The Great Influenza: The Epic Story of the Deadliest Plague in History,3.95,Paperback,15539,29036
English,677 pages,Isabel Allende,Large Print,"A swashbuckling adventure story that reveals for the first time how Diego de la Vega became the masked man we all know so well Born in southern California late in the eighteenth century, Diego de la Vega is a child of two worlds. His father is an aristocratic Spanish military man turned landowner; his mother, a Shoshone warrior. At the age of sixteen, Diego is sent to Spain, a country chafing under the corruption of Napoleonic rule. He soon joins La Justicia, a secret underground resistance movement devoted to helping the powerless and the poor. Between the New World and the Old, the persona of Zorro is formed, a great hero is born, and the legend begins. After many adventures -- duels at dawn, fierce battles with pirates at sea, and impossible rescues -- Diego de la Vega, a.k.a. Zorro, returns to America to reclaim the hacienda on which he was raised and to seek justice for all who cannot fight for it themselves.",El Zorro,3.75,Paperback,17056,24796
English,400 pages,Natsuo Kirino,1st Edition,"The ringleader of this cover-up, Masako Katori, emerges as the emotional heart of ",Out  アウト,3.93,Paperback,17200,25365
English,403 pages,Sue Grafton,First Edition,"It's April 1988, a month before Kinsey Millhone's thirty-eighth birthday, and she's alone in her office catching up on paperwork when a young man arrives unannounced. He has a preppy air about him and looks as if he'd be carded if he tried to buy a beer, but Michael Sutton is twenty-seven, an unemployed college dropout. More than two decades ago, a four-year-old girl disappeared, and a recent newspaper story about her kidnapping has triggered a flood of memories. Sutton now believes he stumbled on her lonely burial and could identify the killers if he saw them again. He wants Kinsey's help in locating the grave and finding the men. It's way more than a long shot, but he's persistent and willing to pay cash up front. Reluctantly, Kinsey agrees to give him one day of her time.",U Is for Undertow,3.93,Hardcover,21599,6193821
English,405 pages,Piers Anthony,LCC 856179,"Though he spent the first four years of his life in England, Piers never returned to live in his country of birth after moving to Spain and immigrated to America at age six. After graduating with a B.A. from Goddard College, he married one of his fellow students and and spent fifteen years in an assortment of professions before he began writing fiction full-time.",With a Tangled Skein,3.98,Paperback,17753,76660
English,152 pages,Brian K. Vaughan,Trade,: ,"Saga, Volume Six",4.49,Paperback,19776,28862528
English,351 pages,Agatha Christie,Signature Edition,"Marina’s frozen expression suggested she had witnessed something horrific. But, while others searched for material evidence, Jane Marple conducted a very different investigatio",The Mirror Crack'd from Side to Side,3.89,Paperback,23258,16372
English,352 pages,T.H. White,Abridged Junior Classic,", revised in ",The Sword in the Stone,3.92,Paperback,19590,316845
English,201 pages,Steve Krug,2nd Edition,"Five years and more than 100,000 copies after it was first published, it's hard to imagine anyone working in Web design who hasn't read Steve Krug's ""instant classic"" on Web usability, but people are still discovering it every day. In this second edition, Steve adds three new chapters in the same style as the original: wry and entertaining, yet loaded with insights and practical advice for novice and veteran alike. Don't be surprised if it completely changes the way you think about Web design. ",Don't Make Me Think! A common sense approach to web usability,4.24,Paperback,14920,3368
English,274 pages,Julie James,Berkley Sensation,"As the daughter of a billionaire and the owner of the city's top wine store, Jordan Rhodes is invited to the most exclusive parties in Chicago. But there's only one party the FBI wants to crash: the charity fundraiser of a famous restaurateur, who also happens to launder money for the mob. In exchange for her brother's release from prison, Jordan is going to be there—with a date supplied by the Bureau.",A Lot Like Love,4.09,Paperback,25908,8419428
"
                  ",328 pages,Harper Sloan,3rd Edition,"Isabelle has learned the hard way how hard life can be when fate isn’t by your side. It can hand you dreams on silver platters, but it can snatch them right back and hand you nightmares. One thing Isabelle knew for sure fate was consistent with was taking away everything she ever",Axel,4.13,Kindle Edition,33962,21518647
English,272 pages,Patrick Carman,First Scholastic Edition," introduces readers to Alexa Daley, who annually visits the town of Bridewell. Alexa is curious about what lies beyond the massive ramparts that surround the city and the walled roads that link Bridewell to nearby towns; soon after town leader Thomas Warvold passes away, Alexa finds herself outside the walls, acquires a stone with remarkable powers, and discovers that she's meant to stop a potential war from occurring.",The Dark Hills Divide,3.71,Hardcover,19846,81524
English,305 pages,Robert   Harris,First Edition,"When Tiro, the confidential secretary (and slave) of a Roman senator, opens the door to a terrified stranger on a cold November morning, he sets in motion a chain of events that will eventually propel his master into one of the most suspenseful courtroom dramas in history. The stranger is a Sicilian, a victim of the island's corrupt Roman governor, Verres. The senator is Marcus Cicero -- an ambitious young lawyer and spellbinding orator, who at the age of twenty-seven is determined to attain ",Imperium,4.05,Hardcover,17688,243601
English,336 pages,Garth Nix,1st Hardcover Edition,"Arthur doesn't think he will ever have to return to the strange house that nearly killed him on Monday -- the house that contains an entire world. But Tuesday brings new challenges -- in the form of an enemy named Grim Tuesday, who threatens the well-being of both Arthur's family and his world. Arthur",Grim Tuesday,3.86,Hardcover,20798,47620
English,197 pages,Ian McEwan,First American,"Told from a perspective unlike any other, ",Nutshell,3.71,Hardcover,22178,30008702
English,128 pages,Matt Fraction,Trade,: ,"Sex Criminals, Volume One: One Weird Trick",3.98,Paperback,22608,19536001
